playlist,explicit,followers,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,mean_artists_followers,mean_artists_popularity,category_Chill,category_Decades,category_Dinner,category_Electronic/Dance,category_Focus,category_Hip-Hop,category_Indie,category_Jazz,category_Metal,category_Mood,category_Party,category_Pop,category_R&B,category_Rock,category_Romance,category_Sleep,category_Soul,category_Top Lists,category_Trending,category_Workout,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
#ThrowbackThursday,0.0,1444930.0,62.93181818181818,0.3916361363636364,0.5854090909090907,215853.42045454544,0.5710681818181818,0.00529829125,0.17457045454545445,-10.033181818181822,0.8295454545454546,0.04908863636363636,119.94859090909091,0.6997272727272725,595128.0511363636,69.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.011363636363636364,0.07954545454545454,0.10227272727272728,0.022727272727272728,0.11363636363636363,0.056818181818181816,0.125,0.07954545454545454,0.045454545454545456,0.0,0.0,0.045454545454545456,0.9545454545454546,0.0
35 Soul Classics 1970-1975,0.0,188255.0,34.857142857142854,0.40132857142857137,0.6340857142857143,247353.37142857144,0.5588285714285716,0.03641781571428571,0.1544971428571429,-10.143428571428569,0.4857142857142857,0.07350571428571427,113.2119142857143,0.7010085714285713,181248.3,55.24285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.08571428571428572,0.0,0.05714285714285714,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.17142857142857143,0.11428571428571428,0.11428571428571428,0.0,0.0,0.02857142857142857,0.9714285714285714,0.0
80's Hard Rock,0.0,593960.0,49.270270270270274,0.04803639189189189,0.47513513513513517,251923.24324324325,0.8709729729729729,0.007564802702702702,0.20576216216216214,-6.383837837837838,0.6486486486486487,0.06947297297297297,133.2492972972973,0.5472972972972976,661733.1216216217,64.55405405405405,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.05405405405405406,0.13513513513513514,0.02702702702702703,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.21621621621621623,0.05405405405405406,0.08108108108108109,0.0,0.08108108108108109,0.0,0.0,0.0,1.0,0.0
80's Jam Session,0.02,171381.0,48.26,0.12981739999999997,0.7732600000000001,298839.56,0.6749799999999999,0.03040552179999999,0.12552000000000002,-9.613420000000001,0.62,0.069466,112.45202000000003,0.8160600000000002,258304.3,55.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.08,0.08,0.02,0.06,0.1,0.1,0.1,0.04,0.06,0.06,0.18,0.0,0.0,0.0,1.0,0.0
90's Baby Makers,0.020833333333333332,564271.0,49.395833333333336,0.29820729166666665,0.662375,308110.4791666667,0.47525,0.012889653124999999,0.16069999999999998,-9.698333333333332,0.3958333333333333,0.054604166666666655,119.07527083333332,0.5086041666666666,386265.1111111112,63.16840277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.0625,0.10416666666666667,0.14583333333333334,0.08333333333333333,0.14583333333333334,0.125,0.14583333333333334,0.0,0.0,0.041666666666666664,0.9583333333333334,0.0
90s Love Songs,0.0,379023.0,50.15,0.2770452750000001,0.5559749999999999,266882.275,0.5470250000000001,0.01055022825,0.18675250000000002,-8.418825,0.825,0.036995,121.45439999999999,0.412425,517184.1916666666,69.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.125,0.175,0.1,0.075,0.075,0.125,0.0,0.125,0.075,0.025,0.05,0.0,0.0,0.15,0.85,0.0
90s Pop Rock Essentials,0.07,277403.0,55.08,0.08276955400000001,0.5412900000000002,237530.27,0.7486800000000001,0.030451889699999995,0.161425,-7.123330000000001,0.84,0.04919099999999999,122.70565000000002,0.6021070000000001,311939.39,61.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.1,0.04,0.08,0.04,0.13,0.18,0.04,0.11,0.01,0.09,0.0,0.0,0.02,0.98,0.0
90s Rock Renaissance,0.09,724603.0,56.53,0.05735331960000001,0.4591899999999998,256504.52,0.7478000000000002,0.06751253529999998,0.17553999999999997,-7.406510000000001,0.7,0.054008999999999974,123.34518999999996,0.5118680000000002,1461603.615,72.465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.08,0.07,0.12,0.02,0.11,0.19,0.04,0.08,0.05,0.09,0.0,0.0,0.1,0.9,0.0
A Shot Of Indie,0.08,42570.0,41.12,0.33860409999999996,0.6568499999999999,218987.06,0.5350640000000001,0.11267554909999998,0.14189900000000003,-8.559289999999999,0.49,0.08395000000000001,113.07607999999993,0.4460579999999999,38500.73,50.80333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.07,0.04,0.05,0.11,0.09,0.16,0.07,0.1,0.05,0.06,0.0,0.02,0.05,0.9,0.03
A Sudden Rainstorm,0.0,209727.0,51.44444444444444,0.1730209352777778,0.15078472222222217,205987.625,0.5792379999999998,0.8633991666666666,0.5251291666666664,-21.32745833333334,0.6805555555555556,0.10033055555555556,89.94273611111112,0.01900444444444445,3143.335648148148,54.60648148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.2361111111111111,0.2222222222222222,0.05555555555555555,0.013888888888888888,0.1111111111111111,0.013888888888888888,0.06944444444444445,0.05555555555555555,0.05555555555555555,0.06944444444444445,0.027777777777777776,0.09722222222222222,0.013888888888888888,0.25,0.5,0.1388888888888889
