playlist,explicit,followers,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,mean_artists_followers,mean_artists_popularity,category_Chill,category_Decades,category_Dinner,category_Electronic/Dance,category_Focus,category_Hip-Hop,category_Indie,category_Jazz,category_Metal,category_Mood,category_Party,category_Pop,category_R&B,category_Rock,category_Romance,category_Sleep,category_Soul,category_Top Lists,category_Trending,category_Workout,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Acoustic Hits: Oldies but Goodies,0.013888888888888888,0.126809420747574,0.6881572461386789,0.3549098611111111,0.5617499999999999,0.24337318901392374,0.5496111111111109,0.0023837973611111115,0.17724444444444443,0.9150918062236139,0.8194444444444444,0.04232361111111112,0.6742922528511103,0.42205972222222227,0.6147629076372416,0.8068179252737331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09722222222222222,0.1111111111111111,0.013888888888888888,0.1527777777777778,0.06944444444444445,0.013888888888888888,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.1388888888888889,0.0,0.0,0.08333333333333333,0.9027777777777778,0.013888888888888888
Acoustic Love,0.0,0.0670435651287196,0.5158501948265339,0.6769809523809525,0.5207619047619048,0.21460179064444057,0.329792857142857,0.03485163785714286,0.15381547619047614,0.830801575698833,0.9166666666666666,0.037397619047619055,0.6657241280071143,0.3249059523809524,0.173060341967813,0.5285496589424798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.16666666666666666,0.0,0.13095238095238096,0.11904761904761904,0.023809523809523808,0.09523809523809523,0.05952380952380952,0.047619047619047616,0.05952380952380952,0.08333333333333333,0.0,0.023809523809523808,0.09523809523809523,0.8571428571428571,0.023809523809523808
Acoustic Soul,0.08,0.013743854439630656,0.4153795596450871,0.8452200000000002,0.53488,0.20894340809986675,0.23549199999999995,0.0019296557999999998,0.20477800000000002,0.8256779550610891,0.56,0.05943800000000001,0.6332722270495442,0.32626999999999995,0.08897808770597274,0.46948865560447006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14,0.06,0.08,0.02,0.16,0.08,0.06,0.04,0.14,0.1,0.08,0.04,0.0,0.02,0.12,0.8,0.06
Adrenaline Workout,0.05454545454545454,0.01914508981636517,0.39528127147253006,0.0006138481818181818,0.4329636363636364,0.2493527257013239,0.9606181818181816,0.06450340854545454,0.22426363636363628,0.9868903787725669,0.5272727272727272,0.11494909090909092,0.7621266663442704,0.3059545454545456,0.08500038662399509,0.4903934365668197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05454545454545454,0.09090909090909091,0.05454545454545454,0.03636363636363636,0.09090909090909091,0.07272727272727272,0.05454545454545454,0.16363636363636364,0.10909090909090909,0.05454545454545454,0.07272727272727272,0.14545454545454545,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0
African Heat,0.13333333333333333,0.010072503998927918,0.5311370358199146,0.2260623333333334,0.755316666666667,0.20357385611439008,0.6559499999999999,0.013187255166666667,0.14339833333333332,0.9388326066842118,0.5333333333333333,0.12161333333333334,0.6685466645260257,0.6725416666666668,0.04253258199841804,0.4713892651540809,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.016666666666666666,0.03333333333333333,0.15,0.1,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.1,0.06666666666666667,0.0,0.0,0.05,0.8666666666666667,0.08333333333333333
AfroPop,0.17307692307692307,0.00048682840617267966,0.3216556283020299,0.28399769230769245,0.7713653846153851,0.18890626483010856,0.6826923076923077,0.017510361153846153,0.13612499999999997,0.9414746381832424,0.3269230769230769,0.13063653846153844,0.6207898430958891,0.7325192307692304,0.009670114757441823,0.3314403214462476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.15384615384615385,0.019230769230769232,0.019230769230769232,0.15384615384615385,0.09615384615384616,0.11538461538461539,0.019230769230769232,0.038461538461538464,0.17307692307692307,0.0,0.07692307692307693,0.0,0.0,0.057692307692307696,0.9230769230769231,0.019230769230769232
All A Cappella,0.0,0.002807097609481634,0.2975505844796019,0.4408212500000002,0.562642857142857,0.13767676959130004,0.5844285714285713,0.01872640892857143,0.20337500000000003,0.9217311075420402,0.7142857142857143,0.10588035714285714,0.6518948992380805,0.5398910714285713,0.045725077104842624,0.37696047602921984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.125,0.10714285714285714,0.10714285714285714,0.0,0.03571428571428571,0.03571428571428571,0.16071428571428573,0.05357142857142857,0.08928571428571429,0.05357142857142857,0.125,0.0,0.017857142857142856,0.07142857142857142,0.8928571428571429,0.017857142857142856
All Out 00s,0.17721518987341772,0.08577310739802078,0.6375963510359947,0.10560206329113925,0.6820886075949367,0.21760626827878932,0.7492658227848104,0.01872754,0.1819721518987342,0.9608480925144719,0.6455696202531646,0.09099746835443039,0.6706522095400306,0.5942303797468357,0.588424167189298,0.8127673209394439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11392405063291139,0.13924050632911392,0.11392405063291139,0.02531645569620253,0.0759493670886076,0.11392405063291139,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.02531645569620253,0.11392405063291139,0.08860759493670886,0.0,0.0,0.012658227848101266,0.9873417721518988,0.0
All Out 50s,0.0,0.02205988110772,0.4285963687150838,0.6308362499999999,0.5604625000000001,0.07251593521618735,0.5633625,0.025637877375000014,0.23070250000000003,0.8689431646311013,0.825,0.06802875,0.7706401190054052,0.7488999999999997,0.04570336355537055,0.4666694886556046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.075,0.0625,0.0375,0.0375,0.15,0.05,0.1375,0.05,0.1375,0.15,0.05,0.0,0.0,0.1,0.9,0.0
All Out 60s,0.012987012987012988,0.042927076757071796,0.5899904400561646,0.43004005194805184,0.55587012987013,0.1390068769055069,0.5538961038961038,0.009973350909090913,0.21663506493506504,0.8624872318154886,0.7662337662337663,0.04293766233766234,0.7170153637955767,0.6724935064935066,0.14437308546605562,0.637298850827466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15584415584415584,0.012987012987012988,0.07792207792207792,0.012987012987012988,0.14285714285714285,0.1038961038961039,0.09090909090909091,0.14285714285714285,0.06493506493506493,0.11688311688311688,0.025974025974025976,0.05194805194805195,0.0,0.0,0.03896103896103896,0.961038961038961,0.0
All Out 70s,0.012195121951219513,0.07195190329548735,0.5999775574489231,0.219754219512195,0.5992926829268289,0.2592066024489881,0.6415000000000001,0.013265393536585362,0.1676792682926829,0.862065471141887,0.7439024390243902,0.05797926829268291,0.6982809024412617,0.6775975609756101,0.21056959616523868,0.7162596119696384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.08536585365853659,0.08536585365853659,0.0,0.04878048780487805,0.10975609756097561,0.04878048780487805,0.13414634146341464,0.024390243902439025,0.1951219512195122,0.08536585365853659,0.012195121951219513,0.0,0.0,0.012195121951219513,0.9878048780487805,0.0
All Out 80s,0.0,0.10580054611510215,0.6552824154597116,0.15581383780487806,0.6528902439024389,0.2615348345492199,0.7046463414634151,0.025737805365853645,0.16547682926829274,0.881044159971062,0.5975609756097561,0.04767682926829268,0.7314100791238756,0.6986463414634146,0.13559273314038991,0.6798353059724301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.10975609756097561,0.10975609756097561,0.024390243902439025,0.08536585365853659,0.08536585365853659,0.10975609756097561,0.07317073170731707,0.012195121951219513,0.06097560975609756,0.0975609756097561,0.08536585365853659,0.0,0.0,0.0,1.0,0.0
All Out 90s,0.05194805194805195,0.09289159356470666,0.6424847745090926,0.09776302727272725,0.6462727272727273,0.2500543732128774,0.7514155844155844,0.05814664805194807,0.19748051948051953,0.9199369402676361,0.6363636363636364,0.06880649350649351,0.7015433191098319,0.6552597402597402,0.18233776644829106,0.6780344443906924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1038961038961039,0.09090909090909091,0.06493506493506493,0.012987012987012988,0.05194805194805195,0.07792207792207792,0.07792207792207792,0.12987012987012986,0.1038961038961039,0.14285714285714285,0.025974025974025976,0.11688311688311688,0.0,0.0,0.025974025974025976,0.974025974025974,0.0
